instance,n,algorithm,initial_len,initial_gap_pct,2opt_len,2opt_gap_pct,3opt_len,3opt_gap_pct,init_time,2opt_time,3opt_time
Tnm52.tsp,52,HullRot-LPQI,586513.4084706563,,585790.0046888003,,585790.0046888003,,0.08757870001136325,0.0017586000030860305,0.017704400001093745
Tnm55.tsp,55,LPQI,649815.7647574424,,647610.4714716113,,647610.4714716113,,0.013737600005697459,0.001923600008012727,0.02312789999996312
Tnm55.tsp,55,MHLPQI,649815.7647574424,,647610.4714716113,,647610.4714716113,,0.001120700006140396,0.002005799993639812,0.022714000020641834
Tnm55.tsp,55,HullRot-LPQI,649815.7647574424,,647610.4714716113,,647610.4714716113,,0.10598100000061095,0.0019217999943066388,0.02124780000303872
Tnm58.tsp,58,LPQI,713683.8595769741,,709956.634948635,,709956.634948635,,0.016974800004391,0.0021510000224225223,0.026053300010971725
Tnm58.tsp,58,MHLPQI,703497.0313809124,,699769.8067525735,,699769.8067525735,,0.001273000001674518,0.0022464999929070473,0.027361199987353757
Tnm58.tsp,58,HullRot-LPQI,713683.8595769741,,709956.634948635,,709956.634948635,,0.12042769999243319,0.002150300017092377,0.025524399999994785
Tnm61.tsp,61,LPQI,767464.710744013,,762190.8194970115,,762190.8194970115,,0.020171300013316795,0.002435000002151355,0.031259499985026196
Tnm61.tsp,61,MHLPQI,755555.1240027469,,746856.4823132508,,746856.4823132508,,0.0013895999873057008,0.0024370999890379608,0.031132200005231425
Tnm61.tsp,61,HullRot-LPQI,767464.710744013,,762190.8194970115,,762190.8194970115,,0.1402544000011403,0.0029319000022951514,0.033927899989066646
Tnm64.tsp,64,LPQI,822191.6025073546,,822191.6025073546,,822191.6025073546,,0.02757730000303127,0.0016623999981675297,0.04436030000215396
Tnm64.tsp,64,MHLPQI,809868.1209088021,,809868.1209088021,,809868.1209088021,,0.001725200010696426,0.0015284000255633146,0.0418053999892436
Tnm64.tsp,64,HullRot-LPQI,822191.6025073546,,822191.6025073546,,822191.6025073546,,0.1630322000128217,0.0024716000189073384,0.03987880001659505
Tnm67.tsp,67,LPQI,882440.0401392954,,882440.0401392954,,882440.0401392954,,0.03139109999756329,0.0020075000065844506,0.0497414999990724
Tnm67.tsp,67,MHLPQI,860375.4231149066,,857749.3015889117,,857749.3015889117,,0.0018589999817777425,0.0032730000093579292,0.05002230001264252
Tnm67.tsp,67,HullRot-LPQI,882440.0401392954,,882440.0401392954,,882440.0401392954,,0.17781269998522475,0.0015950000088196248,0.040512100007617846
Tnm70.tsp,70,LPQI,942880.0656049341,,942880.0656049341,,942880.0656049341,,0.029288999998243526,0.0017177000117953867,0.04638299997895956
Tnm70.tsp,70,MHLPQI,894036.1171425353,,892386.3789327252,,892386.3789327252,,0.0017547000024933368,0.0031562000222038478,0.054651300015393645
Tnm70.tsp,70,HullRot-LPQI,942880.0656049341,,942880.0656049341,,942880.0656049341,,0.22182320000138134,0.0016056000022217631,0.0463045000215061
Tnm73.tsp,73,LPQI,951618.5656848884,,951618.5656848884,,951618.5656848884,,0.06653290000394918,0.002957699995022267,0.0583117000060156
Tnm73.tsp,73,MHLPQI,945153.4675843398,,945153.4675843398,,945153.4675843398,,0.0019297999970149249,0.0017171000072266906,0.05950120001216419
Tnm73.tsp,73,HullRot-LPQI,951618.5656848884,,951618.5656848884,,951618.5656848884,,0.25487939998856746,0.0017226000200025737,0.053067600005306304
Tnm76.tsp,76,LPQI,1012413.6804571851,,1012413.6804571851,,1012413.6804571851,,0.038304799993056804,0.0022148000134620816,0.061487200000556186
Tnm76.tsp,76,MHLPQI,999221.7152584961,,996315.1972582773,,996315.1972582773,,0.0020071000035386533,0.0036840999964624643,0.06202470001881011
Tnm76.tsp,76,HullRot-LPQI,1012413.6804571851,,1012413.6804571851,,1012413.6804571851,,0.270071699982509,0.0019081999780610204,0.060543600004166365
Tnm79.tsp,79,LPQI,1073360.6110037512,,1073360.6110037512,,1073360.6110037512,,0.0496798999956809,0.002287699986482039,0.07877899997401983
Tnm79.tsp,79,MHLPQI,1020584.8624517642,,1018596.5889062587,,1018596.5889062587,,0.0025843000039458275,0.004973399976734072,0.0753454000223428
Tnm79.tsp,79,HullRot-LPQI,1073360.6110037512,,1073360.6110037512,,1073360.6110037512,,0.29348969997954555,0.0020127000170759857,0.0684379999875091
Tnm82.tsp,82,LPQI,1134431.795689621,,1134431.795689621,,1134431.795689621,,0.04852799998479895,0.002147699997294694,0.0764467999979388
